date,open,high,low,close,volume,foreign_net_buy
2025-05-23,37100.0,37450.0,30800.0,33200.0,14562947.0,0.0
2025-05-26,34150.0,43150.0,33500.0,42700.0,5642365.0,0.0
2025-05-27,44950.0,50300.0,42550.0,45500.0,5401484.0,0.0
2025-05-28,45800.0,48250.0,41650.0,46700.0,2735083.0,0.0
2025-05-29,45050.0,52400.0,44450.0,46900.0,3457620.0,0.0
2025-05-30,47650.0,49450.0,45250.0,45500.0,1109703.0,0.0
2025-06-02,46200.0,46900.0,42750.0,42850.0,579421.0,0.0
2025-06-04,41550.0,41800.0,38800.0,39100.0,772909.0,0.0
2025-06-05,38100.0,40000.0,36800.0,37750.0,615188.0,0.0
2025-06-09,38550.0,39100.0,35450.0,37750.0,657189.0,0.0
2025-06-10,38150.0,40550.0,37750.0,38700.0,722282.0,0.0
2025-06-11,39100.0,39150.0,37350.0,37600.0,325071.0,0.0
2025-06-12,36700.0,38500.0,35850.0,37000.0,385047.0,0.0
2025-06-13,37300.0,38300.0,34900.0,35000.0,316085.0,0.0
2025-06-16,34000.0,38600.0,33650.0,37900.0,491401.0,0.0
2025-06-17,38300.0,38950.0,36650.0,38650.0,326308.0,0.0
2025-06-18,37850.0,38700.0,36750.0,36750.0,187219.0,0.0
2025-06-19,36800.0,38500.0,36150.0,38000.0,298517.0,0.0
2025-06-20,38500.0,40850.0,37200.0,37850.0,612115.0,0.0
2025-06-23,35950.0,39450.0,34600.0,39050.0,2190297.0,0.0
2025-06-24,40500.0,42200.0,39800.0,41100.0,1027792.0,0.0
2025-06-25,42500.0,42600.0,40250.0,40600.0,452964.0,0.0
2025-06-26,40000.0,40850.0,38950.0,39650.0,488475.0,0.0
2025-06-27,40000.0,41800.0,39000.0,39100.0,557204.0,0.0
2025-06-30,38500.0,38500.0,37500.0,37700.0,225154.0,0.0
2025-07-01,37750.0,39350.0,37600.0,37950.0,284274.0,0.0
2025-07-02,38600.0,39750.0,37350.0,39000.0,436721.0,0.0
2025-07-03,39600.0,42300.0,39500.0,42000.0,796985.0,0.0
2025-07-04,42000.0,42250.0,40050.0,40500.0,395819.0,0.0
2025-07-07,40650.0,41950.0,39950.0,41900.0,334897.0,0.0
2025-07-08,41300.0,42350.0,40350.0,41250.0,349111.0,0.0
2025-07-09,40900.0,42000.0,38650.0,38800.0,637679.0,0.0
2025-07-10,30000.0,30700.0,27300.0,28750.0,1972158.0,0.0
2025-07-11,28750.0,29300.0,28000.0,28750.0,690855.0,0.0
2025-07-14,29250.0,29250.0,27450.0,27850.0,331489.0,0.0
2025-07-15,27400.0,27600.0,25850.0,27550.0,768971.0,0.0
2025-07-16,26800.0,27250.0,25950.0,26850.0,277747.0,0.0
2025-07-17,26500.0,28400.0,26100.0,27300.0,480523.0,0.0
2025-07-18,27300.0,27300.0,25550.0,25900.0,353430.0,0.0
2025-07-21,25350.0,25650.0,24600.0,24700.0,248601.0,0.0
2025-07-22,25150.0,26400.0,25150.0,26100.0,318992.0,0.0
2025-07-23,25900.0,26000.0,24550.0,24750.0,202873.0,0.0
2025-07-24,24800.0,25150.0,24500.0,24600.0,101962.0,0.0
2025-07-25,24950.0,26350.0,24400.0,26100.0,228062.0,0.0
2025-07-28,25750.0,26550.0,24350.0,24500.0,229887.0,0.0
2025-07-29,24000.0,24800.0,23250.0,24700.0,171454.0,0.0
2025-07-30,25850.0,27450.0,25400.0,26900.0,517863.0,0.0
2025-07-31,26450.0,26450.0,24900.0,25450.0,243982.0,0.0
2025-08-01,24750.0,24850.0,23250.0,23500.0,212383.0,0.0
2025-08-04,23600.0,24600.0,23150.0,24400.0,98935.0,0.0
2025-08-05,24500.0,24500.0,23650.0,23900.0,122338.0,0.0
2025-08-06,23700.0,25150.0,23600.0,25000.0,119094.0,0.0
2025-08-07,24600.0,24800.0,24200.0,24550.0,144869.0,0.0
2025-08-08,24950.0,25600.0,24250.0,25200.0,133075.0,0.0
2025-08-11,22500.0,22950.0,21400.0,22800.0,440977.0,0.0
2025-08-12,23500.0,25000.0,23300.0,23900.0,249769.0,0.0
2025-08-13,24200.0,25600.0,24000.0,25100.0,169505.0,0.0
2025-08-14,25000.0,26400.0,24800.0,26000.0,261119.0,0.0
2025-08-18,26400.0,26500.0,25500.0,25600.0,143696.0,0.0
2025-08-19,25250.0,26150.0,24650.0,25600.0,162705.0,0.0
2025-08-20,25300.0,25350.0,24550.0,25250.0,196079.0,0.0
2025-08-21,25200.0,27650.0,24900.0,26900.0,509619.0,0.0
2025-08-22,26500.0,28600.0,26500.0,28150.0,364946.0,0.0
2025-08-25,27750.0,29250.0,26800.0,28650.0,971667.0,0.0
2025-08-26,28350.0,29100.0,27650.0,28850.0,338611.0,0.0
2025-08-27,28700.0,29650.0,28350.0,29250.0,379778.0,0.0
2025-08-28,29300.0,29400.0,28450.0,28750.0,202348.0,0.0
2025-08-29,28650.0,31450.0,28600.0,30450.0,779202.0,0.0
2025-09-01,30050.0,30900.0,29450.0,29700.0,286954.0,0.0
2025-09-02,30000.0,31375.0,29900.0,30800.0,363473.0,0.0
2025-09-03,30800.0,32350.0,30350.0,32050.0,309626.0,0.0
2025-09-04,32400.0,33150.0,31950.0,32550.0,360989.0,0.0
2025-09-05,32500.0,33250.0,31750.0,33150.0,419718.0,0.0
